Date,Open,High,Low,Close,Volume
5/5/2021 15:30:00,218,224.4,215.2,221,7484763
5/6/2021 15:30:00,222.6,223.5,218.25,219.9,2793784
5/7/2021 15:30:00,221.5,236,219,232.9,15571198
5/10/2021 15:30:00,235,239.85,230.45,234.45,7822837
5/11/2021 15:30:00,232.85,242.1,230.1,236.2,8886344
5/12/2021 15:30:00,236.2,237.05,227.1,230.75,3528151
5/14/2021 15:30:00,232.45,232.95,220.5,221.85,5078807
5/17/2021 15:30:00,223.2,226.65,217.9,224.05,2861859
5/18/2021 15:30:00,225,225.95,221.5,222.9,2106188
5/19/2021 15:30:00,223.9,223.9,220,221.6,2264108
5/20/2021 15:30:00,222,226.7,219.75,221.4,4418577
5/21/2021 15:30:00,222.5,229.7,221.75,227.5,3798892
5/24/2021 15:30:00,228.65,229.4,225.35,227.15,2016108
5/25/2021 15:30:00,228.2,233.3,223.7,225.65,2868626
5/26/2021 15:30:00,226.8,228.75,224.5,227.25,1618623
5/27/2021 15:30:00,228.85,228.9,224.55,226.25,2221623
5/28/2021 15:30:00,227.55,235,225.65,230.1,5646216
5/31/2021 15:30:00,235,235,227,227.65,3970503
